latitude,longitude,altitude,geometry,stop_id,stop_name,capacity,category
25.06682,121.5907,,Point,U108091,下灣公園(成功路),16,高
25.05876,121.58062,,Point,U108092,舊宗行善路口,9,中
25.06455,121.58262,,Point,U108093,新湖二路250巷口,20,高
25.08105,121.59205,,Point,U108094,成功路四段41巷口,12,高
25.08151,121.59764,,Point,U108095,金湖星雲街口,30,高
25.06851,121.59559,,Point,U108096,國防醫學院,15,高
25.06434,121.59399,,Point,U108097,民權東路六段190巷117弄口,15,高
25.07848,121.57493,,Point,U108098,內湖運動中心,21,中
25.08844,121.56122,,Point,U108099,九華公園,16,中
25.08454,121.584,,Point,U108100,內湖路二段179巷口,16,中
25.0606,121.58286,,Point,U108102,行善行愛路口,12,中
25.06017,121.57552,,Point,U108103,民善新湖二路口(家樂福內湖店),23,高
25.06007,121.60138,,Point,U108104,統振大樓,25,高
25.07433,121.58584,,Point,U108105,陽光街161巷口,16,高
25.05928,121.58617,,Point,U108106,潭美公園(南京東路六段368巷),18,高
25.08503,121.5637,,Point,U108107,西康二號公園,21,高
25.06935,121.58692,,Point,U108108,三民國中(民權東路六段47巷),13,高
25.07168,121.58125,,Point,U108109,瑞光路76巷口,12,中
25.06664,121.61351,,Point,U108110,捷運東湖站,28,高
25.06874,121.58923,,Point,U108111,新湖國小,12,中
25.08627,121.5914,,Point,U108112,碧山內湖路口,16,高
25.07038,121.60352,,Point,U108115,民權東路六段413巷,16,高
25.07676,121.57433,,Point,U108116,宏匯瑞光廣場(瑞光路),16,中
25.07777,121.57562,,Point,U108117,宏匯瑞光廣場(港墘路),20,中
25.07192,121.61955,,Point,U108118,康樂街151巷,14,高
25.0812,121.57067,,Point,U108119,內湖路一段360巷,15,中
25.07823,121.5898,,Point,U108120,成功路三段83號前,11,中
25.08781,121.55872,,Point,U108121,內湖路一段47巷,16,低
25.07243,121.57416,,Point,U108122,陽光舊宗路口,20,中
25.07392,121.61545,,Point,U108123,安湖公園,8,中
25.06671,121.58913,,Point,U108124,湖興公園,16,高
25.07849,121.61666,,Point,U108126,安泰街(康樂橋下),15,高
25.07539,121.6203,,Point,U108127,康樂綠地,15,高
25.08004,121.57568,,Point,U108128,捷運港墘站(1號出口),23,中
25.06058,121.5866,,Point,U108129,明美公園(行善路333巷),16,中
25.06365,121.58609,,Point,U108130,行善路383巷,17,高
25.06321,121.57681,,Point,U108131,舊宗新湖三路口,18,高
25.06766,121.57459,,Point,U108132,內湖運動公園,17,高
25.08968,121.58352,,Point,U108133,內湖路三段326巷口,15,中
